Timestamp;LogLevel;Message;CorrelationId
2024-09-27T10:18:29.202Z;WARNING;Manifest not found;
2024-09-27T10:18:32.074Z;WARNING;Manifest not found;
2024-09-27T10:19:08.878Z;DEBUG;Final frame range after trimming: startFrame=0, endFrame=9240;
2024-09-27T10:19:08.945Z;INFO;Loaded Video in 120ms {name: RGB_720p_Fade_Single.mp4, extension: mp4, created: 2024-09-27T10:18:59.000, modified: 2024-09-27T10:19:08.828128, path: /home/jeffmur/Videos/RGB/720p/RGB_720p_Fade_Single.mp4, codec: h264, fps: 30, totalFrames: 9263, sha256: 72d33436, durationSeconds: 308, startFrame: 0, endFrame: 9240, encryptionStatus: plain};72d33436-1727457539000
2024-09-27T10:19:09.580Z;INFO;Cached Video in 636ms;72d33436-1727457539000
2024-09-27T10:19:17.744Z;DEBUG;Final frame range after trimming: startFrame=0, endFrame=9240;
2024-09-27T10:19:17.794Z;INFO;Loaded Video in 55ms {name: RGB_720p_Fade_Single.mp4, extension: mp4, created: 2024-09-27T10:19:10.000, modified: 2024-09-27T10:19:17.738583, path: /home/jeffmur/Videos/RGB/720p/RGB_720p_Fade_Single.mp4, codec: h264, fps: 30, totalFrames: 9263, sha256: 72d33436, durationSeconds: 308, startFrame: 0, endFrame: 9240, encryptionStatus: plain};72d33436-1727457550000
2024-09-27T10:19:18.358Z;INFO;Cached Video in 563ms;72d33436-1727457550000
2024-09-27T10:19:40.518Z;METRIC;⚙️ Processed in 940ms {type: sso, frameCount: firstLast, durationSeconds: 14, frameRange: 0 - 420 };72d33436-1727457539000
2024-09-27T10:19:42.663Z;METRIC;⚙️ Processed in 1s {type: sso, frameCount: firstLast, durationSeconds: 14, frameRange: 420 - 840 };72d33436-1727457550000
2024-09-27T10:19:48.347Z;METRIC;📊 KLD => 0.020864778127731607 Plaintext Score took 351µs;
2024-09-27T10:19:48.347Z;METRIC;📊 Bhattacharyya => 0.9946842901003383 Plaintext Score took 84µs;
2024-09-27T10:19:48.348Z;METRIC;📊 Cramer => 0.09518322682096557 Plaintext Score took 162µs;
2024-09-27T10:19:49.842Z;METRIC;📊 KLD => 0.02086477784170282 Ciphertext Score in total: 46ms, encryptX: 17ms, encryptLogX: 16ms, computeScore: 11ms;
2024-09-27T10:19:49.883Z;METRIC;📊 Bhattacharyya => 0.9946842902535442 Ciphertext Score in total: 40ms, encryptX: 16ms, encryptSqrtX: 17ms, computeScore: 6ms;
2024-09-27T10:19:49.927Z;METRIC;📊 Cramer => 0.09518322648982348 Ciphertext Score in total: 43ms, encryptCumulativeSumX: 16ms, computeScore: 26ms;
